Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Race Reliability,Race Relevance,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Hospital Treated Reliability,Hospital Treated Relevance,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Admission Reliability,Admission Relevance,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Number of Discharges Reliability,Number of Discharges Relevance,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
2014,939,30-39,Bachelor,Male,,50000-75000,false,false,false,false,true,,hos,properties first,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
2015,1876,30-39,Bachelor,Female,,25000-50000,false,false,false,false,true,,hos,fairness first,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree
2016,999,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neutral,Neutral
2017,2029,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Somewhat Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Disagree,Neutral,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Somewhat Disagree
2018,423,40-49,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree
2019,1925,30-39,Bachelor,Male,,25000-50000,false,false,false,false,false,NATIVE AMERICAN,hos,properties first,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral
2020,1361,18-29,High School,Male,,<25000,false,false,false,true,false,,hos,fairness first,Strongly Agree,Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Neutral,Disagree,,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Agree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Neutral,Neutral,,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Somewhat Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Somewhat Agree,Neutral,Neutral
2021,1446,18-29,Associate or Diploma,Male,,75000-100000,false,false,false,true,false,,hos,fairness first,Strongly Agree,Agree,Disagree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Agree,Somewhat Disagree
2022,381,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
2023,643,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
2024,811,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree
2025,268,18-29,Bachelor,Female,,25000-50000,false,false,false,false,true,,hos,fairness first,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
2026,1530,18-29,High School,Male,,>100000,false,false,false,true,false,,hos,fairness first,Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree
2027,2437,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
2028,331,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree
2029,825,30-39,Graduate,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Agree,Somewhat Agree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree
2030,541,70 up,High School,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Neutral
2031,1778,30-39,High School,Male,,50000-75000,false,false,false,false,true,,hos,properties first,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree
2032,1890,30-39,Graduate,Male,,25000-50000,false,true,false,false,false,,hos,fairness first,Agree,Agree,Agree,Agree,,Agree,Disagree,Somewhat Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree
2033,1209,50-59,High School,Female,,<25000,false,false,false,true,false,,hos,properties first,Strongly Agree,,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Agree,Strongly Agree,,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Agree,Strongly Agree,Disagree,,Disagree,Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree
2034,2986,18-29,Bachelor,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Disagree,,,,,,,,,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Disagree,Somewhat Disagree
2035,1758,30-39,High School,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Agree,Neutral,Disagree,Somewhat Agree,Disagree,Neutral,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Neutral,Disagree
2036,2272,30-39,Associate or Diploma,Male,,50000-75000,false,false,true,true,false,,hos,fairness first,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Neutral,Somewhat Agree,Agree,Strongly Agree,Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree
2037,599,30-39,Associate or Diploma,Male,,50000-75000,true,false,true,true,false,,hos,properties first,Neutral,Somewhat Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral
2038,1062,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
2039,529,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree
2040,865,18-29,High School,Male,,<25000,false,false,false,true,false,,hos,properties first,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral
